Nucleus,Ex,T1/2,I,μ(nm),Q(b),,[Ref. Std.],Method,NSR Keynumber,Journal Reference
17O,0,stable,5/2+,-1.89379(9),,,[2H],N,1951Al08,PR 81 1067 (51)
18O,1982,2.07 ps,2+,-0.57(3),,,,RIV/D,1976As04,JP G2 477 (76)
19O,0,27 s,5/2+,1.53195(7) c,,,[17O],β-NMR,1999Mi16,PL B457 9 (99)
20O,1674,7.4 ps,2+,0.70(3),,,,RIV/D,1980Ru01,NP A344 294 (80)
17F,0,64.5 s,5/2+,+4.7213(3),,,[12B],β-NMR,1993Mi33,HFI 78 111 (93)
18F,937,47 ps,3+,+1.6(2),,,,IMPAC,1981St21,JPJa 50 2804 (81)
19F,0,stable,1/2+,+2.628868(8),,,[1H],N,1952Li18/1964Ba11,ArkF 4 1 (52)/PR 133 A1533 (64)
20F,0,11 s,2+,+2.09335(9),,,,β-NMR,1996MiZW,ARO p44 (96)
21F,0,4.16 s,5/2+,3.9194(12),,,,β-NMR,1999Mb13,HFI 120/121 673 (99)
22F,0,4.2 s,4+,(+)2.6944(4),,,,β-NMR,2010MI13,NP A834 75c (10)
17Ne,0,109 ms,1/2-,+0.7873(14),,,[21Ne],CFBLS,2005GE06,PR C71 064319 (2006)
19Ne,0,17.3 s,1/2+,-1.8846(8),,,[21Ne],CFBLS,2005GE06,PR C71 064319 (2006)
20Ne,1634,0.7 ps,2+,+1.08(8),,,,"RIV/D, R",1978Za13/1975Ho15,HFI 5 347 (78)/NP A248 291 (75)
21Ne,0,stable,3/2+,-0.661797(5),,,[2H],MB,1957La08,PR 107 1202 (57)
22Ne,1275,3.6 ps,2+,+0.65(2),,,,RIV/D,1977Ho01,NP A275 237 (77)
23Ne,0,37.6 s,5/2+,1.0817(9),,,,β-NMR,-,OULNS Ann. Rept. 2004 51 (05)
25Ne,0,0.60 s,1/2+,-1.0062(5),,,[21Ne],CFBLS,2005GE06,PR C71 064319 (2006)
20Na,0,0.446 s,2+,+0.3694(2),,,[23Na],OP/RD,1975Sc20,NP A246 187 (75)
21Na,0,22.5 s,3/2+,+2.38630(10),,,[23Na],AB,1965Am01,PR 137 B1157 (65)
22Na,0,2.60 y,3+,+1.746(3),,,[23Na],AB,1949Da01,PR 76 1068 (49)
23Na,0,stable,3/2+,+2.217522(2),,,,AB/D,1974Be50,ZP 270 173 (74)
24Na,0,15.0 h,4+,+1.6903(8),,,,AB/D,1966Ch15/1973CoZG,PR 150 933 (66)/BAPS 18 727 (73)
25Na,0,60 s,5/2+,+3.683(4),,,[23Na],OP/RD,1975De11,ZP A273 15 (75)
26Na,0,1.07 s,3+,+2.851(2),,,[23Na],ABLS,1978Hu12,PR C18 2342 (78)
27Na,0,0.29 s,5/2+,+3.895(5),,,[23Na],ABLS,1978Hu12,PR C18 2342 (78)
28Na,0,30.5 ms,1+,+2.426(5),,,[23Na],ABLS,1978Hu12,PR C18 2342 (78)
29Na,0,43 ms,3/2+,+2.449(8),,,[23Na],ABLS,1978Hu12,PR C18 2342 (78)
30Na,0,53 ms,2+,+2.083(10),,,[23Na],ABLS,1978Hu12,PR C18 2342 (78)
31Na,0,17 ms,3/2+,+2.305(8),,,[23Na],"ABLS,R",1978Hu12,PR C18 2342 (78)
21Mg,0,122 ms,5/2+,-0.983(7),,,[25Mg],CFBLS/β-NMR,2009KR05,PL B 678 465 (09)
23Mg,0,11.3 s,3/2+,0.5364(3),,,,β-NMR,1993Fu06,PL B307 278 (93)
24Mg,1369,1.45 ps,2+,+1.02(4),,,,RIV/D/IMPAC,1975Ho15/1974Eb02,NP A248 291 (75)/NP A229 162 (74)
25Mg,0,stable,5/2+,-0.85545(8),,,[14N],N,1951Al11,PR 82 105 (51)
26Mg,1809,476 fs,2+,+1.0(3),,,[24Mg 1369],TF,1981Sp04,PL 102B 6 (81)
27Mg,0,9.46 m,1/2+,-0.411(2),,,[25Mg],CLS,2008KO05,PR C77 034307 (08)
29Mg,0,1.30 s,3/2+,+0.9780(6),,,[25Mg],β-NMR/LRS,2008Ko05,PR C77 034307 (08)
31Mg,0,230 ms,1/2+,-0.88355(15),,,[25Mg],β-NMR/LRS,2005Ne01,PRL 94 022501 (05)
33Mg,0,90.5 ms,3/2+,-0.7456(5),,,[31Mg],β-NMR/LRS,2007Yo06,PRL 99 212501 (07)
23Al,0,37.2 s,5/2+,+3.889(5),,,,β-NMR,2006Oz04,PR C74 021301 (06)
