Nucleus,Ex,T1/2,I,μ(nm),Q(b),,[Ref. Std.],Method,NSR Keynumber,Journal Reference
145Ba,0,4.31 s,5/2(-),-0.285(7),,,"[135,137Ba]",CFBLS,1988We07,ZP A329 407 (88)
146Ba,181,0.85 ns,2+,0.54(18),,,,IPAC,2009GO09,PR C79 034316 (09)
133La,536,60 ns,11/2-,7.5(5),,,,TDPAC,1979BuZW,CF79Riga 81 (79)
135La,0,19.5 h,5/2+,+3.70(9),,,[139La],CFBLS,2003II03,PR C68 054328 (03)
137La,0,6 x 10*4 y,7/2+,+2.700(15),,,[139La],CFBLS,2003II03,PR C68 054328 (03)
138La,0,1.1x10*11 y,5+,+3.713646(7),,,[139La],N,1977Kr12/1955So31,PL 62A 131 (77)/PR 99 613 (55)
139La,0,stable,7/2+,+2.7830455(9),,,[2H],"N, O",1977Kr12,PL 62A 131 (77)/ZP 116 547 (40)
140La,0,40.3 h,3-,+0.730(15),,,[139La],AB,1969HuZY,Cf69Mont 91 (69)
126Ce,2887,8 ps,10+,~+10,,,,IPAD,1987IsZS,Cf87Melb. 93 (87)
129Ce,108,60 ns,9/2-,-0.83(5),,,,TDPAD,1998Io01,NP A633 459 (98)
130Ce,2454,109 ns,7-,,1.8(2),R,,TDPAD,1999Io02,PR C60 024316 (99)
131Ce,162,88 ns,9/2-,-0.85(3),,,,TDPAD,1998Io01,NP A633 459 (98)
134Ce,3209,308 ns,10+,-1.87(2),,,,"TDPAD, R",1984Be68,PL 101A 507 (84)
135Ce,2126,8.2 ns,19/2+,-0.66(10),,,,IPAD,1982Ze01,ZP A304 269 (82)
136Ce,3095,2.2 μs,10+,-1.80(2),,,,TDPAD,1980Ba68,PRL 45 1015 (80)
137Ce,0,9.0 h,3/2+,0.96(4),,,,NMR/ON,1991Mu06,JPJa 60 845 (91)
138Ce,3538,82 ns,10+,-1.70(3),,,,TDPAD,1980Ba68,PRL 45 1015 (80)
139Ce,0,137.6 d,3/2+,1.06(4),,,,NMR/ON,1991Mu06,JPJa 60 845 (91)
140Ce,1596,90 fs,2+,+1.9(2),,,,TF,1991Ba38,NP A533 541 (91)
141Ce,0,32.5 d,7/2-,1.09(4),,,,NMR/ON,1983Va36,HFI 15 325 (83)
142Ce,641,5.7 ps,2+,+0.42(10),,,,TF,1991Ba38,NP A533 541 (91)
143Ce,0,33 h,3/2-,0.43(1),,,,NMR/ON,2002Ta01,PR C65 017301 (01)
146Ce,259,0.25 ns,2+,0.9(2),,,,IPAC,2009GO09,PR C79 034316 (09)
148Ce,158,1.01 ns,2+,0.78(16),,,,IPAC,2009GO09,PR C79 034316 (09)
150Ce,306,(0.18) ns,4+,+3.2(16),,,[148Ce 158],IMPAC,1999Sm05,PL B453 206 (99)
136Pr,595,90 ns,6+,+3.42(11),,,,TDPAD,1993Ba42,NP A603 50 (96)
139Pr,822,45 ns,11/2-,+6.6(5),,,,TDPAD,1979Ke07,ZP A291 319 (79)
141Pr,0,stable,5/2+,+4.2754(5),,,[19F],OD,1982Ma31/1984Ma12,PRL 49 636 (82)/PR B29 2390 (84)
142Pr,0,19.2 h,2-,+0.234(1),,,,"AB, R",1973AnZO/1970HiZW,PCan 29n4 47 (73)/BAPS 15 628 (70)
143Pr,0,13.57 d,7/2+,+2.701(4),,,[141Pr],CFBLS,1994Ii01,PR C50 661 (94)
144Pr,80,0.12 ns,1-,-1.2(4),,,,IPAC,1975Ba32,PS 11 363 (75)
133Nd,SD band,(-),(37-45)/2+,g(avge) = 0.31(8),,,,TF,1995Me08,NP A589 106 (95)
134Nd,295,64 ps,2+,+1.2(4),,,[146Nd 454],IMPAD,1987Bi13,PR C36 974 (87)
135Nd,0,12.4 m,9/2-,-0.78(3),,,[143Nd],LRIMS,1992Le09,JP G18 1177 (92)
136Nd,3298,51.3 ps,10+,+11(4),,,[146Nd 454],IMPAD,1987Bi13,PR C36 974 (87)
137Nd,0,38 m,1/2+,-0.633(5),,,[143Nd],LRIMS,1992Le09,JP G18 1177 (92)
138Nd,3172,330 ns,10+,-1.74(4),,,,TDPAD,1982Ri09,PRL 48 516 (82)
139Nd,0,30 m,3/2+,+0.907(7),,,[143Nd],LRIMS,1992Le09,JP G18 1177 (92)
140Nd,3622,22 ns,10+,-1.92(12),,,,TDPAD,1980Me11,NP A346 281 (80)
141Nd,0,2.49 h,3/2+,+1.012(9),,,[143Nd],LRIMS,1992Le09,JP G18 1177 (92)
142Nd,1576,110 fs,2+,+1.69(15),,,,TF,1991Ba38,NP A533 541 (91)
143Nd,0,stable,7/2-,-1.065(5),,,,AB/D,1965Sm04,PPS 86 1249 (65)
144Nd,697,4.51 ps,2+,+0.418(14),,,,TF,2001Ho02,PL B493 7 (00)
145Nd,0,stable,7/2-,-0.656(4),,,,AB/D,1965Sm04,PPS 86 1249 (65)
146Nd,454,27.5 ps,2+,+0.578(16),,,,TF,2001Ho02,PL B493 7 (00)
147Nd,0,11.0 d,5/2-,0.578(3),,,[143Nd],EPR,1957Ke13,PR 108 54 (57)
148Nd,302,78 ps,2+,+0.73(3),,,,TF,2001Ho02,PL B493 7 (00)
149Nd,0,1.73 h,5/2-,0.351(10),,,[145Nd],AB,1970PiZR,BAPS 15 769 (70)
150Nd,130,2142 ps,2+,0.9(2),,,,TF,1999BeZR,Cf99S.Agata
138Pm,0,3.5 m,(3+),3.2(9),,,,NO/S,1992Si22,HFI 75 471 (92)
143Pm,0,265 d,5/2+,3.8(5),,,,NO/S,1963Gr10,PR 130 1100 (63)
144Pm,0,349 d,5-,1.69(14),,,,NO/S,1961Sh02,PR 121 558 (61)
145Pm,0,17.7 y,5/2+,+3.80(16),,,[147Pm],CFBLS,1992Al03,JP B25 571 (92)
147Pm,0,2.623 y,7/2+,+2.58(7),,,,O,1966Re04,PR 141 1123 (66)
148Pm,0,5.37 d,1-,+2.1(2),,,,AB,1965Al10,PR 138 B1356 (65)
149Pm,0,53.1 h,7/2+,3.3(5),,,,NO/S,1960Ch15/1963Gr10,PRS 259A 377 (60)/PR 130 1100 (63)
151Pm,0,28.4 h,5/2 +,1.8(2),,,,AB,1963Bu14,PR 132 723 (63)
138Sm,2903,0.55 ns,10+,~10,,,,IPAD,1989OgZY,Gensh. Ken. 33 145 (89)
139Sm,0,2.57 m,1/2+,-0.53(2),,,"[145,7,9Sm]",LRIMS,1992Le09,JP G18 1177 (92)
140Sm,3172,19.4 ns,10+,-1.8(2),,,,TDPAD,1988Ba22,PL 206B 404 (88)
141Sm,0,10.2 m,1/2+,-0.74(2),,,"[145,7,9Sm]",LRIMS,1992Le09,JP G18 1177 (92)
142Sm,2372,170 ns,7-,,+1.1(3),R,[154Sm 82],"TDPAD, TF",1985Be23/1986Da22,ZP A321 403 (85)/PL 181B 21 (86)
143Sm,0,8.83 m,3/2+,+1.01(2),,,"[145,7,9Sm]",LRIMS,1992Le09,JP G18 1177 (92)
144Sm,1660,85 fs,2+,+1.5(2),,,,TF,1991Ba38,NP A533 541 (91)
145Sm,0,340 d,7/2-,-1.11(6),,,"[145,7,9Sm]",LRIMS,1992Le09,JP G18 1177 (92)
147Sm,0,1.1x10*11y,7/2-,-0.812(2),,,"[147,147Sm]",LRFS,1990En01,JP G16 105 (90)
148Sm,550,7.3 ps,2+,+0.51(4),,,[150Sm 334],TF,1987Ba65,ZP A328 275 (87)
149Sm,0,> 2x10*15 y,7/2-,-0.6677(11),,,"[147,147Sm]",LRFS,1990En01,JP G16 105 (90)
150Sm,334,49 ps,2+,+0.77(5),,,[152Sm 122],TF,1987Be08,HFI 33 37 (87)
151Sm,0,90 y,5/2-,-0.3611(13),,,[147Sm],LRFS,1990En01,JP G16 105 (90)
152Sm,122,1.40 ns,2+,+0.80(6),,,,IPAC,1992De29,CJP 70 268 (92)
153Sm,0,46.8 h,3/2+,-0.021(3),,,"[147,147Sm]",LRFS,1990En01,JP G16 105 (90)
154Sm,82,3.01 ns,2+,+0.78(4),,,[149Sm],ME,1969Wh04,PR 186 1280 (69)
155Sm,0,22.4 m,3/2-,,1.13(13),R,[153Sm],AB,1976Fu06,JPCR 5 835 (76)/PC Wadding (68)
138Eu,0,12.1 s,(6-),5.3(7),,,[142Eu],NO/S,1992Si22,HFI 75 471 (92)
139Eu,0,17.9s,(11/2-),6.1(8),,,[142Eu],NO/S,1992Si22,HFI 75 471 (92)
140Eu,0 + x,1.54 s,1(+),+1.365(13),,,[151Eu],CFBLS,1985Ah02,ZP A321 35 (85)
141Eu,0,40 s,5/2+,+3.494(8),,,[151Eu],CFBLS,1985Ah02,ZP A321 35 (85)
142Eu,0,2.4 s,1+,+1.54(2),,,[151Eu],CFBLS,1985Ah02,ZP A321 35 (85)
143Eu,0,2.6 m,5/2+,+3.673(8),,,[151Eu],CFBLS,1985Ah02,ZP A321 35 (85)
144Eu,0,10 s,1+,+1.893(13),,,[151Eu],CFBLS,1985Ah02,ZP A321 35 (85)
145Eu,0,5.93 d,5/2+,+3.999(3),,,[151Eu],CFBLS,1993HuZU,Cf93Bern 209(93)
146Eu,0,4.59 d,4-,+1.421(8),,,[151Eu],CFBLS,1993HuZU,Cf93Bern 209(93)
147Eu,0,24.1 d,5/2+,+3.736(6),,,[151Eu],CFBLS,1993HuZU,Cf93Bern 209(93)
148Eu,0,54.5 d,5-,+2.340(10),,,[151 Eu],CFBLS,1985Ah02,ZP A321 35 (85)
149Eu,0,93.1 d,5/2+,+3.576(10),,,[151 Eu],CFBLS,1986Al33,YadF 44 1134 (86)
150Eu,0,35.8 y,5(-),+2.708(11),,,[151 Eu],CFBLS,1985Ah02,ZP A321 35 (85)
151Eu,0,stable,5/2+,+3.4717(6),,,,AB/D,1965Ev08,PRS 289A 114 (65)
152Eu,0,13.54 y,3-,-1.9401(8),,,[151Eu],CFBLS,1993HuZU,Cf93Bern 209(93)
153Eu,0,stable,5/2+,+1.5324(3),,,[151Eu],CFBLS,1993HuZU,Cf93Bern 209(93)
154Eu,0,8.6 y,3-,-2.005(6),,,[153Eu],EPR,1957Ab05,PR 108 58 (57)
155Eu,0,4.68 y,5/2+,+1.520(2),,,[153Eu],ABLFS,2000Ga35,EurPJ D11 341 (00)
157Eu,0,15.2 h,5/2+,+1.50(2),,,"[151,153Eu]",CFBLS,1990Al34,ZP A337 257 (90)
158Eu,0,45.9 m,1(-),+1.44(2),,,"[151,153Eu]",CFBLS,1990Al34,ZP A337 257 (90)
159Eu,0,18.1 m,5/2+,+1.38(2),,,"[151,153Eu]",CFBLS,1990Al34,ZP A337 257 (90)
144Gd,3433,130 ns,10+,+12.76(14),,,,TDPAD,1979Ha15,PRL 42 1451 (79)
145Gd,0,22 m,1/2+,-0.74(5),,,,LS,2005BA64,PR C72 017301 (05)
146Gd,1580,1.1 ns,3-,+2.1(9),,,,TDPAD,1979Ke03,ZP A290 229 (79)
147Gd,0,38.1 h,7/2-,1.02(9),,,,NO/S,1987Kr11,HFI 34 69 (87)
148Gd,2695,16.5 ns,9-,-0.16(2),,,,TDPAD,1987Da27,PL 199B 26 (87)
149Gd,0,9.4 d,7/2-,0.88(4),,,,NO/S,1987Kr11,HFI 34 69 (87)
151Gd,0,120 d,7/2-,0.77(6),,,,NO/S,1987Be33,HFI 34 119 (87)
152Gd,344,28.6 ps,2+,+0.96(8),,,[156Gd 89],"RIGV, R",1974Ar23,NP A233 385 (74)
153Gd,0,241.6 d,3/2-,0.38(8),,,,NO/S,1985Al21,NP A445 189 (86)
154Gd,123,1.17 ns,2+,+0.96(6),,,[156Gd 89],"RIGV, R",1974Ar23,NP A233 385 (74)
155Gd,0,stable,3/2-,-0.2572(4),,,,ENDOR,1978Va24,JP C11 203 (78)
156Gd,89,2.21 ns,2+,+0.82(14),,,[158Gd 261],TF,1991St01,ZP A338 135 (91)
157Gd,0,stable,3/2-,-0.3398(7),,,[155Gd],"AB/D, ENDOR",1969Un02/1969Ba15,JP B2 122 (69)/JP C2 862 (69)
158Gd,80,2.52 ns,2+,+0.78(6),,,[158Gd 261],TF,1992Br07,PR C45 1549 (92)
159Gd,0,18.6 h,3/2-,-0.44(3),,,,NO/S,1971Kr19,PR C4 1942 (71)
160Gd,75,2.70 ns,2+,+.72(4),,,[156Gd 89],"RIGV, R",1974Ar23,NP A233 385 (74)
147Tb,0,1.7 h,1/2+,+1.70(5),,,[159Tb],CFBLS,1990Al36,ZP A337 367 (90)
148Tb,0,60 m,2-,-1.75(2),,,[159Tb],CFBLS,1990Al36,ZP A337 367 (90)
149Tb,0,4.12 h,1/2+,+1.35(2),,,[159Tb],CFBLS,1990Al36,ZP A337 367 (90)
150Tb,0 + x,3.48 h,2(-),-0.90(2),,,[159Tb],CFBLS,1990Al36,ZP A337 367 (90)
151Tb,0,17.6 h,1/2(+),+0.919(6),,,[159Tb],CFBLS,1990Al36,ZP A337 367 (90)
152Tb,0,17.5 h,2-,-0.58(2),,,[159Tb],CFBLS,1990Al36,ZP A337 367 (90)
153Tb,0,2.34 d,5/2+,+3.44(2),,,[159Tb],CFBLS,1990Al36,ZP A337 367 (90)
154Tb,0 + x,9.4 h,3-,+1.6(2),,,[159Tb],CFBLS,1990Al36,ZP A337 367 (90)
155Tb,0,5.32 d,3/2+,+2.01(2),,,[159Tb],CFBLS,1990Al36,ZP A337 367 (90)
156Tb,0,5.35 d,3-,1.7(2),,,[159Tb],NO/S,1983Be03,JP G9 213 (83)
157Tb,0,99 y,3/2+,+2.01(2),,,[159Tb],CFBLS,1990Al36,ZP A337 367 (90)
158Tb,0,150 y,3-,+1.758(7),,,[159Tb],EPR,1968Ea04,PR 170 1083 (68)
159Tb,0,stable,3/2+,+2.014(4),,,,"EPR, ENDOR",1965Ba49,PRS 286A 352 (65)
160Tb,0,72.1 d,3-,1.790(7),,,[159Tb],NMR/ON,1987Ma42,PRL 59 1764 (87)
161Tb,0,6.9 d,3/2+,2.2(1),,,[159Tb],NO/S,1983Ri15,HFI 15 83 (83)
147Dy,0,~1.3 m,(1/2+),-0.915(9),,,,CFBLS,1989Ra17,PC Neugart (87)
149Dy,0,4.23 m,7/2-,-0.119(7),,,[163Dy],CFBLS,1989Ra17,PC Neugart (87)
151Dy,0,17 m,7/2-,-0.945(7),,,,CFBLS,1989Ra17,PC Neugart (87)
152Dy,6129,9.9 ns,21-,+11.6(12),,,,TDPAD,1979Me01,PRL 42 23 (79)
153Dy,0,6.3 h,7/2-,-0.782(6),,,[163Dy],CFBLS,1989Ra17,PC Neugart (87)
154Dy,yrast,,2+,0.72(8),,,[calc],theory,1993Bi05/1993Bi09,NP A553 527c (93)/NP A555 643 (93)
155Dy,0,10.0 h,3/2-,-0.385(4),,,[163Dy],CFBLS,1989Ra17,PC Neugart (87)
156Dy,138,0.82 ns,2+,+0.78(8),,,,R,1984Ha39,PL 144B 341 (84)
157Dy,0,8.1 h,3/2-,-0.301(2),,,[163Dy],CFBLS,1989Ra17,PC Neugart (87)
158Dy,99,1.66 ns,2+,+0.72(5),,,,IPAC,1993Al09,ZP A345 273 (93)
159Dy,0,144 d,3/2-,-0.354(3),,,[163Dy],CFBLS,1989Ra17,PC Neugart (87)
160Dy,87,1.96 ns,2+,+0.74(2),,,,TDPAC,1973Ka25,PR C8 757 (73)
161Dy,0,stable,5/2+,-0.480(3),,,[163Dy],AB,1974Fe05,PL 49A 287 (74)
162Dy,81,2.25 ns,2+,+0.69(3),,,,RIGV,1970Be36/1973Ka25,NP A151 401 (70)/PR C8 757 (73)
163Dy,0,stable,5/2-,+0.673(4),,,,AB/D,1974Fe05,PL 49A 287 (74)
164Dy,73,2.39 ns,2+,+0.68(2),,,[161Dy],ME,1968Mu01,ZP 208 184 (68)
165Dy,0,2.33 h,7/2+,-0.520(5),,,[163Dy],AB,1968Ra03,PR 165 1360 (68)/PL 49A 287 (74)
152Ho,0,161.8 s,2-,-1.02(2),,,[165Ho],LRIMS,1989Al27,NP A504 549 (89)
153Ho,0,2.0 m,11/2-,+6.81(5),,,[165Ho],LRIMS,1989Al27,NP A504 549 (89)
154Ho,0,11.76 m,2-,-0.643(6),,,[165Ho],LRIMS,1989Al27,NP A504 549 (89)
155Ho,0,48 m,5/2+,+3.51(3),,,[165Ho],LRIMS,1989Al27,NP A504 549 (89)
156Ho,0,56 m,4(+),+2.99(3),,,[165Ho],LRIMS,1989Al27,NP A504 549 (89)
157Ho,0,12.6 m,7/2-,+4.35(3),,,[165Ho],LRIMS,1989Al27,NP A504 549 (89)
158Ho,0,11.3 m,5+,+3.77(3),,,[165Ho],LRIMS,1989Al27,NP A504 549 (89)
159Ho,0,35.05 m,7/2-,+4.28(3),,,[165Ho],LRIMS,1989Al27,NP A504 549 (89)
160Ho,0,25.6 m,5+,+3.71(3),,,[165Ho],LRIMS,1989Al27,NP A504 549 (89)
161Ho,0,2.48 h,7/2-,+4.25(3),,,[165Ho],LRIMS,1989Al27,NP A504 549 (89)
162Ho,106,67 m,6-,+3.60(4),,,[165Ho],LRIMS,1989Al27,NP A504 549 (89)
163Ho,0,4570 y,7/2-,+4.23(4),,,[165Ho],LRIMS,1989Al27,NP A504 549 (89)
165Ho,0,stable,7/2-,+4.17(3),,,,"AB/D, R",1974Da11,ZP 267 239 (74)
166Ho,6,1200 y,(7)-,3.60(16),,,,NO/S,1981Kr12,PR C24 654 (81)
152Er,2184,1.8 ns,8+,-0.6(6),,,,IPAD,1984AdZT,"Cf83Meguro, 155 (83)"
153Er,0,37.1 s,(7/2-),-0.939(7),,,[167Er],CFBLS,1987OtZW,CERN EP/87 51 (1987)
154Er,3016 + x,39 ns,11-,+0.169(13),,,,TDPAD,1984Ra11,PR C30 169 (84)
155Er,0,5.3 m,7/2-,-0.671(5),,,[167Er],CFBLS,1987OtZW,CERN EP/87 51 (1987)
156Er,345,33 ps,2+,0.80(12),,,,RIGV,1970No01,NP A142 577 (70)
157Er,0,25 m,3/2-,-0.414(3),,,[167Er],CFBLS,1987OtZW,CERN EP/87 51 (1987)
158Er,192,0.30 ns,2+,0.72(11),,,,RIGV,1970No01,NP A142 577 (70)
159Er,0,36 m,3/2-,-0.305(2),,,[167Er],CFBLS,1987OtZW,CERN EP/87 51 (1987)
160Er,126,0.919 ns,2+,+0.66(12),,,,PAC,2005WO06,PR C72 027301 (05)
161Er,0,3.21 h,3/2-,-0.367(3),,,[167Er],CFBLS,1987OtZW,CERN EP/87 51 (1987)
162Er,102,1.3 ns,2+,,< 0,,,CER,1981Hu02,PR C23 240 (81)
163Er,0,75.1 m,5/2-,+0.560(4),,,[167Er],CFBLS,1987OtZW,CERN EP/87 51 (1987)
164Er,92,1.48 ns,2+,0.697(15),,,[166Er 81],ME,1968Mu01,ZP 208 184 (68)
165Er,0,10.36 h,5/2-,+0.646(4),,,[167Er],CFBLS,1987OtZW,CERN EP/87 51 (1987)
166Er,81,1.85 ns,2+,+0.649(10),,,[167Er],ME,1981Ho31,HFI 11 29 (81)
167Er,0,stable,7/2+,-0.56385(12),,,,AB/D,1984Fo02,ZP A315 1 (84)
168Er,80,1.86 ns,2+,+0.62(6),,,,IPAC,1980Fu03,PR C21 2575 (80)
169Er,0,9.40 d,1/2-,+0.52(3),,,,AB/D,1963Do09,PR 131 1586 (63)
170Er,79,1.90 ns,2+,0.633(13),,,[166Er 81],ME,1969Wi04,PR 177 1786 (69)
171Er,0,7.52 h,5/2-,0.659(10),,,[167Er],AB,1964Bu09,PR 135 B1281 (64)
153Tm,0,1.48 s,(11/2-),6.93(11),,,[169Tm],LRIS,2000Ba16,PR C61 034304 (00)
154Tm,0,8.1 s,(2-),-1.14(2),,,[169Tm],LRIS,2000Ba16,PR C61 034304 (00)
156Tm,0,1.3 m,2-,+0.40(3),,,[169Tm],LRIMS,1987AlZb,LIYAF 1309 (1987)
157Tm,0,3.6 m,1/2+,+0.476(15),,,[169Tm],LRIMS,1988Al04,NP A477 37 (88)
158Tm,0,4.3 m,2-,+0.04(2),,,[169Tm],LRIMS,1988Al04,NP A477 37 (88)
159Tm,0,9.0 m,5/2+,+3.42(3),,,[169Tm],LRIMS,1988Al04,NP A477 37 (88)
160Tm,0,9.4 m,1-,+0.16(2),,,[169Tm],LRIMS,1988Al04,NP A477 37 (88)
161Tm,0,38 m,7/2+,+2.40(2),,,[169Tm],LRIMS,1988Al04,NP A477 37 (88)
162Tm,0,21 m,1-,+0.068(8),,,[169Tm],LRIMS,1988Al04,NP A477 37 (88)
163Tm,0,1.8 h,1/2+,-0.082(1),,,[169Tm],"AB, LRIMS",1967Dy01/1988Al04,BAPS 12 1046 (67)/NP A477 37 (88)
164Tm,0,2.0 m,1+,+2.38(3),,,[169Tm],LRIMS,1988Al04,NP A477 37 (88)
165Tm,0,30.06 h,1/2+,-0.139(2),,,[169Tm],"AB, LRIMS",1968Sc26/1988Al04,BAPS 13 1650 (68)/NP A477 37 (88)
166Tm,0,7.7 h,2+,+0.092(1),,,[169Tm],"AB, LRIMS",1988Al04/1972Ad14,NP A477 37 (88)/NP A198 380 (72)
167Tm,0,9.25 d,1/2+,-0.197(2),,,[169Tm],"AB, R, LRIMS",1973Ek01/1988Al04,PS 7 31 (73)/NP A477 37 (88)
168Tm,0,85 d,3+,+0.227(11),,,[169Tm],LRIMS,1988Al04,NP A477 37 (88)
169Tm,0,stable,1/2+,-0.2310(15) d,,,,AB,1967Gi04,ZP 199 244 (67)
170Tm,0,128.6 d,1+,+0.246(2),,,[169Tm],ABLS,1988Dy02,PR C38 2813 (88)
171Tm,0,1.92 y,1/2+,-0.228(4),,,[169Tm],"AB, R",1967Gi04/1964Bu09,ZP 199 244 (67)/PR 135B 1281 (64)
155Yb,0,1.59 s,(7/2-),-0.91(2),,,,LRIS,1998Ba08,EurPJ A1 3 (98)
157Yb,0,38.6 s,7/2-,-0.639(8),,,[171Yb],CFBLS,92Ku21,HFI 74 171 (92)
158Yb,band,,30 - 38,(+)0.20(7),,,,TF,1988KlZX,ANL-PHY-88-2 (88)
159Yb,0,1.58 m,5/2(-),-0.368(8),,,[171Yb],CFBLS,1992Ku21,HFI 74 171 (92)
160Yb,band,,~4+,+1.9(10),,,,IPAC,1990Lu02,ZP A335 369 (90)
161Yb,0,4.2 m,3/2-,-0.327(8),,,[173Yb],CFBLS,1983Ne13,HFI 15 181 (83)
162Yb,cont.,,20-32,g(avge) = 0.24(5),,,,TF,1984Ma10,PL 134B 153 (84)
163Yb,0,11.0 m,3/2-,-0.374(8),,,[173Yb],CFBLS,1983Ne13,HFI 15 181 (83)
164Yb,123,0.88 ns,2+,+0.64(10),,,,IPAC,2004Be13,PR C69 034320
165Yb,0,9.9 m,5/2-,+0.478(8),,,[173Yb],CFBLS,1983Ne13,HFI 15 181 (83)
167Yb,0,17.5 m,5/2-,+0.623(8),,,[173Yb],CFBLS,1983Ne13,HFI 15 181 (83)
169Yb,0,32.0 d,7/2+,-0.635(8),,,[173Yb],CFBLS,1983Ne13,HFI 15 181 (83)
170Yb,84,1.57 ns,2+,+0.674(8),,,[171Yb],ME,1968Mu01/1965Hu03,ZP 208 184 (68)/PL 15 269 (65)
171Yb,0,stable,1/2-,+0.49367(1),,,[23Na],OP/RD,1972Ol01,ZP 249 205 (72)
172Yb,79,1.80 ns,2+,+0.669(16),,,[171Yb],ME,1968Mu01,ZP 208 184 (1968)
173Yb,0,stable,5/2-,-0.648(3),,,[171Yb],CFBLS,1992Ku21,HFI 74 171 (92)
174Yb,77,1.79 ns,2+,+0.676(8),,,,ME,1971He03,ZP 241 138 (71)
175Yb,0,4.18 d,7/2-,0.768(8),,,[171Yb],CFBLS,1992Ku21,HFI 74 171 (92)
161Lu,0,77 s,1/2(+),+0.223(3),,,[175Lu],CFBLS,1998Ge13,EurPJ A3 225 (98)
162Lu,0,1.37 m,1-,+0.0553(11),,,[175Lu],CFBLS,1998Ge13,EurPJ A3 225 (98)
163Lu,0,238 s,1/2(+),+0.0769(10),,,[175Lu],CFBLS,1998Ge13,EurPJ A3 225 (98)
164Lu,0,3.14 m,1-,+0.0591(11),,,[175Lu],CFBLS,1998Ge13,EurPJ A3 225 (98)
165Lu,0,10.74 m,1/2(+),-0.0245(3),,,[175Lu],CFBLS,1998Ge13,EurPJ A3 225 (98)
166Lu,0,2.65 m,6-,+2.912(12),,,[175Lu],CFBLS,1998Ge13,EurPJ A3 225 (98)
167Lu,0,51.5 m,7/2+,+2.325(4),,,[175Lu],CFBLS,1998Ge13,EurPJ A3 225 (98)
168Lu,0,5.5 m,6-,+3.02(3),,,[175Lu],CFBLS,1998Ge13,EurPJ A3 225 (98)
169Lu,0,34.1 h,7/2+,2.295(4),,,[175Lu],CFBLS,1998Ge13,EurPJ A3 225 (98)
171Lu,0,8.24 d,7/2+,+2.293(4),,,[175Lu],CFBLS,1998Ge13,EurPJ A3 225 (98)
172Lu,0,6.70 d,4-,+2.900(10),,,[175Lu],CFBLS,1998Ge13,EurPJ A3 225 (98)
173Lu,0,1.37 y,7/2+,+2.281(2),,,[175Lu],CFBLS,1998Ge13,EurPJ A3 225 (98)
174Lu,0,3.3 y,1-,+1.988(5),,,[175Lu],CFBLS,1998Ge13,EurPJ A3 225 (98)
175Lu,0,stable,7/2+,+2.2323(11),,,,AB/D,1985Br09,NP A440 407 (85)
176Lu,0,3.6x10*10 y,7-,+3.162(12),,,[175Lu],CFBLS,1998Ge13,EurPJ A3 225 (98)
177Lu,0,6.71 d,7/2+,+2.239(7),,,[175Lu],CFBLS,1998Ge13,EurPJ A3 225 (98)
178Lu,0,28.4 m,1+,-1.377(9),,,[175Lu],CFBLS,1998Ge13,EurPJ A3 225 (98)
179Lu,0,4.59 h,7/2+,+2.375(12),,,[175Lu],CFBLS,1998Ge13,EurPJ A3 225 (98)
162Hf,>yrast,_,_,g(avge) = +0.21(4),,,,TF,1998We02,PR C57 621 (98)
163Hf,>yrast,_,_,g(avge) = +0.18(6),,,,TF,1998We02,PR C57 621 (98)
164Hf,>yrast,_,_,g(avge) = +0.23(3),,,,TF,1998We02,PR C57 621 (98)
165Hf,> yrast,_,_,g(avge) = +0.14(3),,,,TF,1996We01,PR C53 151 (96)
166Hf,> yrast,_,_,g(avge) = +0.19(4),,,,TF,1996We01,PR C53 151 (96)
168Hf,124,1.24 ps,2+,0.34(6),,,,IPAC,2012Wo03,PR C85 037304 (12)
170Hf,100,1.21 ns,2+,0.56(10),,,,IPAC,2007WO08,PR C76 047308 (07)
171Hf,0,12.1 h,7/2+,-0.674(12),,,,CFBLS,2000Ye02,JP G26 839 (00)
172Hf,95,1.28 ns,2+,0.50(10),,,,IPAC,2009BE42,PR C80 057303 (09)
173Hf,0,23.6 h,1/2-,+0.502(7),,,"[177,179Hf]",CFBLS,1999Le11,PRL 82 2476 (99)
174Hf,1549,138 ns,(6+),+5.42(5),,,,TDPAD,1980Wa23,NP A349 1 (80)
175Hf,0,70 d,5/2-,-0.677(9),,,,LRS,2002Ni12,PRL 88 094801 (02)
176Hf,88,1.47 ns,2+,+0.63(6),,,[180Hf],IPAC,1996Al20,ZP A355 363 (96)
177Hf,0,stable,7/2-,+0.7935(6),,,,AB/D,1973Bu07/1973Bu25,PL 43B 479 (73)/ZP 260 157 (73)
178Hf,93,1.47 ns,2+,+0.48(3),,,,CEAD,1968Be04,NP A109 201 (68)
179Hf,0,stable,9/2+,-0.6409(13),,,,AB/D,1973Bu25,PL 43B 479 (73)/ZP 260 157 (73)
180Hf,93,1.53 ns,2+,+0.61(3),,,,IPAC,1996Al20,ZP A355 363 (96)
169Ta,"170+x, 220","44, 54 ns","5/2-, 9/2-",,Q(5/2-)/Q(9/2-) = 1.87(13),,,TDPAD,2005Ku40,Eur.Phys.J A 26 311 (05)
171Ta,184,45 ns,9/2-,,(+)2.81(17),R,[181Ta],R,2013StZZ,IAEA Rept INDC(NDS)-0650 (2013)
