energy,configuration,term,J,gJ,linewidth
5.03×10⁴ c·h/cm,4f14.6s.(2S<1/2>).35p<3/2>,"(1/2,3/2)1*",1,0.0,
5.03×10⁴ c·h/cm,4f14.6s.(2S<1/2>).36p<3/2>,"(1/2,3/2)1*",1,0.0,
5.03×10⁴ c·h/cm,4f14.6s.(2S<1/2>).37p<3/2>,"(1/2,3/2)1*",1,0.0,
5.03×10⁴ c·h/cm,4f14.6s.(2S<1/2>).38p<3/2>,"(1/2,3/2)1*",1,0.0,
5.04×10⁴ c·h/cm,4f14.6s.(2S<1/2>).39p<3/2>,"(1/2,3/2)1*",1,0.0,
5.04×10⁴ c·h/cm,4f14.6s.(2S<1/2>).40p<3/2>,"(1/2,3/2)1*",1,0.0,
5.04×10⁴ c·h/cm,4f14.6s.(2S<1/2>).41p<3/2>,"(1/2,3/2)1*",1,0.0,
5.04×10⁴ c·h/cm,4f14.6s.(2S<1/2>).42p<3/2>,"(1/2,3/2)1*",1,0.0,
5.04×10⁴ c·h/cm,4f14.6s.(2S<1/2>).43p<3/2>,"(1/2,3/2)1*",1,0.0,
5.04×10⁴ c·h/cm,4f14.6s.(2S<1/2>).44p<3/2>,"(1/2,3/2)1*",1,0.0,
5.04×10⁴ c·h/cm,4f14.6s.(2S<1/2>).45p<3/2>,"(1/2,3/2)1*",1,0.0,
5.04×10⁴ c·h/cm,4f14.6s.(2S<1/2>).46p<3/2>,"(1/2,3/2)1*",1,0.0,
5.04×10⁴ c·h/cm,4f14.6s.(2S<1/2>).47p<3/2>,"(1/2,3/2)1*",1,0.0,
5.04×10⁴ c·h/cm,4f14.6s.(2S<1/2>).48p<3/2>,"(1/2,3/2)1*",1,0.0,
5.04×10⁴ c·h/cm,Yb II (6s 2S<1/2>),Ionization Limit,0,0.0,
5.18×10⁴ c·h/cm,4f14.5d.6p?,3D1*,1,0.0,
5.25×10⁴ c·h/cm,,Ionization Limit,4,0.0,
